,id,Coin_Name,Symbol,num_market_pairs,Launch_Date,Circulating_supply,Total_supply,cmc_rank,last_updated,Price,Volume_24h,Volume_change_24h,Percent_change_1h,Percent_change_24h,Percent_change_7d,Percent_change_30d,Percent_change_60d,Percent_change_90d,Market_cap,Market_cap_dominance,Fully_diluted_market_cap,Last_updated
31,4023,Bitcoin BEP2,BTCB,102,2019-06-18 00:00:00,105104.90962756,112501.0,32,2022-01-28T01:53:00.000Z,36816.51979400904,271945616.8526665,432.7063,-0.76228205,1.45689659,-8.07721865,-23.10256622,-36.22620666,-40.85677355,3869596985.7505937,0.2332,4141895293.35,2022-01-28 01:53:00
32,8916,Internet Computer,ICP,97,2021-03-23 00:00:00,199026764.78070688,476574179.8904111,33,2022-01-28T01:53:00.000Z,19.14137361744881,261380147.97347298,-29.9314,-0.60478773,-0.77289053,-18.69056537,-23.64191527,-54.87249544,-56.91777017,3809645664.539613,0.2296,9122284433.71,2022-01-28 01:53:00
33,4642,Hedera,HBAR,85,2019-09-17 00:00:00,18092792421.137627,50000000000.0,34,2022-01-28T01:53:00.000Z,0.2078618724116538,77289776.87127477,-20.0856,-0.08275085,-0.51869208,-19.19048309,-29.19656163,-37.2968007,-49.16879248,3760801709.813046,0.2267,10393093620.58,2022-01-28 01:53:00
34,3077,VeChain,VET,163,2017-08-22 00:00:00,64315576989.0,86712634466.0,35,2022-01-28T01:53:00.000Z,0.0516148037917951,246828225.2822982,-28.7852,-1.20197318,-0.70429346,-21.08441466,-42.24086333,-55.44970969,-62.24775305,3319635887.043327,0.2001,4475655614.23,2022-01-28 01:53:00
35,3957,UNUS SED LEO,LEO,17,2019-05-21 00:00:00,953954130.0,985239504.0,36,2022-01-28T01:53:00.000Z,3.458170179845897,4498506.51175993,-11.385,-0.28546865,-3.57078423,-7.78051673,-5.93237733,1.08966247,4.78207989,3298935725.306836,0.1988,3407125872.74,2022-01-28 01:53:00
36,1321,Ethereum Classic,ETC,285,2016-07-24 00:00:00,132569062.25113109,210700000.0,37,2022-01-28T01:53:00.000Z,24.216666385860517,368899559.2261236,2.3224,0.05590712,1.30155407,-14.78407978,-31.16239778,-49.07794761,-54.52668843,3210380753.6220164,0.1935,5102451607.5,2022-01-28 01:53:00
37,4256,Klaytn,KLAY,73,2020-03-30 00:00:00,2627825674.2,10782229177.6,38,2022-01-28T01:53:00.000Z,1.2094052780565625,63884846.98668644,-48.0574,0.14547177,0.76945628,-13.35986982,-5.02265902,-12.39743055,-25.43411295,3178106240.1900244,0.1915,13040084876.6,2022-01-28 01:53:00
38,6210,The Sandbox,SAND,184,2020-08-05 00:00:00,925054385.2233225,3000000000.0,39,2022-01-28T01:53:00.000Z,3.356096692841187,1331452003.8874469,30.7454,-2.16581198,9.60424205,-11.73452938,-44.5030686,-54.6679185,202.67533902,3104571962.94623,0.1871,10068290078.52,2022-01-28 01:53:00
39,5665,Helium,HNT,39,2020-06-05 00:00:00,109279349.62922041,223000000.0,40,2022-01-28T01:53:00.000Z,27.461051741963043,55774120.42190497,-20.1107,-1.5657122,-0.1807414,-0.49147558,-27.37191199,-32.20206964,-3.13344005,3000925874.496092,0.1808,6123814538.46,2022-01-28 01:53:00
40,6892,Elrond,EGLD,75,2020-09-04 00:00:00,20650131.05385957,23016298.0,41,2022-01-28T01:53:00.000Z,143.99185608950302,124827139.05826788,-32.4112,1.39784956,5.38321642,-11.31433001,-40.64475048,-64.72314049,-45.83954114,2973450698.936724,0.1792,4523637495.51,2022-01-28 01:53:00
