,id,name,year_established,country,has_trading_incentive,trust_score,trust_score_rank,trade_volume_24h_btc,trade_volume_24h_btc_normalized
158,localtrade,LocalTrade,2017.0,Saint Vincent and the Grenadines,0.0,5.0,159.0,2302.6545991373837,148.48075750279008
159,balancer_polygon,Balancer (Polygon),,DEX,0.0,5.0,160.0,121.87544138719163,121.87544138719163
160,bitstorage,BitStorage,2018.0,Seychelles,0.0,5.0,161.0,285.4609667361412,114.77913487481368
161,mojitoswap,MojitoSwap,,DEX,0.0,5.0,162.0,92.07205029764717,92.07205029764717
162,gopax,GoPax,2016.0,South Korea,,5.0,163.0,86.86689257537314,86.86689257537314
163,viperswap,ViperSwap,2021.0,DEX,0.0,5.0,164.0,79.09661425119869,79.09661425119869
164,wannaswap,Wannaswap,2021.0,DEX,0.0,5.0,165.0,76.53880442920479,76.53880442920479
165,coinzoom,Coinzoom,2020.0,United States,0.0,5.0,166.0,67.00056240904522,67.00056240904522
166,tethys,Tethys Finance,2021.0,United Arab Emirates,0.0,5.0,167.0,49.18401322405962,49.18401322405962
167,ubeswap,Ubeswap,,DEX,0.0,5.0,168.0,41.58990995200475,41.58990995200475
168,paintswap,Paintswap,,DEX,0.0,5.0,169.0,40.982233041467325,40.982233041467325
169,kumex,KuCoin Futures,2019.0,DEX,0.0,,,2594.921581527846,0.0
170,birake,Birake,2018.0,Estonia,0.0,5.0,170.0,38.855874233024245,38.855874233024245
171,sushiswap_fantom,Sushiswap (Fantom),,DEX,0.0,5.0,171.0,34.190841568049386,34.190841568049386
172,therocktrading,TheRockTrading,2011.0,Italy,0.0,5.0,172.0,32.77447024252489,32.77447024252489
173,cronaswap,Cronaswap,2021.0,Singapore,0.0,5.0,173.0,31.437276716229082,31.437276716229082
174,dmm_avalanche,KyberSwap (Avalanche),2018.0,DEX,0.0,5.0,174.0,31.324198569654104,31.324198569654104
175,deversifi,Deversifi ,2017.0,British Virgin Islands,0.0,5.0,175.0,30.827680592004736,30.827680592004736
176,fuse_fi,Fuse.fi,,DEX,0.0,5.0,176.0,30.698588460016097,30.698588460016097
177,oolongswap,Oolongswap,,DEX,0.0,5.0,177.0,26.774367284061512,26.774367284061512
178,dfx_polygon,DFX (Polygon),,DEX,0.0,5.0,178.0,24.157741286328246,24.157741286328246
179,injective,Injective Pro,,DEX,0.0,5.0,179.0,21.343348139850608,21.343348139850608
180,one_inch_liquidity_protocol,1inch Liquidity Protocol,,DEX,0.0,5.0,180.0,17.370710326603334,17.370710326603334
181,dmm_bsc,KyberSwap (BSC),2018.0,DEX,0.0,5.0,181.0,16.412333494015584,16.412333494015584
182,cherryswap,CherrySwap,,DEX,0.0,5.0,182.0,13.677099921325784,13.677099921325784
183,crodex,Crodex,,DEX,0.0,5.0,183.0,11.60881981125961,11.60881981125961
184,mars_ecosystem,Mars Ecosystem,,DEX,0.0,5.0,184.0,8.526698866975561,8.526698866975561
185,sushiswap_xdai,Sushiswap (xDai),,DEX,0.0,5.0,185.0,8.430038494041217,8.430038494041217
186,south_xchange,SouthXchange,2015.0,Argentina,0.0,5.0,186.0,8.081370644684084,8.081370644684084
187,soulswap,Soulswap,,DEX,0.0,5.0,187.0,7.695066575833313,7.695066575833313
188,sushiswap_celo,Sushiswap Celo,2021.0,DEX,0.0,5.0,188.0,7.4396174594582,7.4396174594582
189,planet_finance,Planet Finance,2021.0,Anguilla,0.0,5.0,189.0,7.325915895938093,7.325915895938093
190,swapr,Swapr,2020.0,DEX,0.0,5.0,190.0,7.092744177184763,7.092744177184763
191,huckleberry,Huckleberry,,DEX,0.0,5.0,191.0,6.14688765073352,6.14688765073352
192,loopring,Loopring,2020.0,British Virgin Islands,0.0,5.0,192.0,6.080372075137985,6.080372075137985
193,probit_kr,Probit (Korea),,DEX,0.0,5.0,193.0,5.698621067098933,5.698621067098933
194,nearpad,NearPAD,2021.0,DEX,0.0,5.0,194.0,5.493239092302632,5.493239092302632
195,kaidex,Kaidex,2021.0,Vietnam,0.0,5.0,195.0,5.2493494994946595,5.2493494994946595
196,mistswap_smart_bitcoin_cash,Mistswap,,DEX,0.0,5.0,196.0,4.305473717908779,4.305473717908779
197,sushiswap_bsc,Sushiswap (BSC),,DEX,0.0,5.0,197.0,4.158053583809407,4.158053583809407
198,benswap_smart_bitcoin_cash,Benswap,,DEX,0.0,5.0,198.0,4.016276419692821,4.016276419692821
199,kuswap,Kuswap,2021.0,DEX,0.0,5.0,199.0,3.442701453145321,3.442701453145321
200,polycat_finance,Polycat Finance,,DEX,0.0,5.0,200.0,2.436455215986963,2.436455215986963
201,btc_trade_ua,BTC Trade UA,,DEX,,5.0,201.0,2.16211328087654,2.16211328087654
202,tropical_finance,Tropical Finance,2021.0,DEX,0.0,5.0,202.0,1.807618159470108,1.807618159470108
203,jetswap,JetSwap,,DEX,0.0,5.0,203.0,1.652973666513521,1.652973666513521
204,nash,Nash,2017.0,Liechtenstein,0.0,5.0,204.0,1.531264436376289,1.531264436376289
205,openswap,OpenSwap,,DEX,0.0,5.0,205.0,0.9721042795853551,0.9721042795853551
206,swapr_arbitrum,Swapr (Arbitrum),,DEX,0.0,5.0,206.0,0.514924948661555,0.514924948661555
207,coingi,Coingi,,DEX,,5.0,207.0,0.30411670676081104,0.30411670676081104
208,namebase,Namebase,,DEX,0.0,5.0,208.0,0.18825178289764,0.18825178289764
209,levinswap_xdai,Levinswap (xDai),,DEX,0.0,5.0,209.0,0.144307655417415,0.144307655417415
210,bossswap,BossSwap,,DEX,0.0,5.0,210.0,0.10202428396172701,0.10202428396172701
211,photonswap,PhotonSwap,,DEX,0.0,5.0,212.0,0.269009531817873,0.0
212,morpheus_swap,Morpheus Swap,,DEX,0.0,5.0,213.0,30.901910921751202,0.0
213,chiliz,Chiliz,2020.0,Seychelles,0.0,5.0,214.0,32.9893219199161,0.0
214,templedao,TempleDAO,2021.0,DEX,0.0,5.0,215.0,67.89203978061991,0.0
215,sushiswap_avalanche,Sushiswap (Avalanche),2021.0,DEX,0.0,5.0,216.0,1497.8912025803554,0.0
216,voltswap_meter,Voltswap (Meter),,DEX,0.0,5.0,217.0,3.196116133368293,0.0
217,tangoswap,TangoSwap,,DEX,0.0,5.0,218.0,3.179694322780579,0.0
218,islandswap,Islandswap,,DEX,0.0,5.0,219.0,15.458247678885758,0.0
219,voltswap_theta,Voltswap (Theta),,DEX,0.0,5.0,220.0,1.498749001564743,0.0
220,value_liquid_bsc,vSwap BSC,2021.0,DEX,0.0,5.0,221.0,0.101109738925217,0.0
221,yobit,YoBit,,Russia,0.0,4.0,222.0,5601.20292804384,5601.20292804384
222,finexbox,FinexBox,2018.0,Hong Kong,0.0,4.0,223.0,4830.803832658965,4830.803832658965
223,dragonex,DragonEx,2017.0,Thailand,0.0,4.0,224.0,10209.426106203715,3227.732065910285
224,citex,CITEX,2018.0,British Virgin Islands,0.0,4.0,225.0,74969.53334136894,2506.2027125195873
225,vindax,Vindax,2019.0,Vietnam,0.0,4.0,226.0,1107.4924735666084,1107.4924735666084
226,spiritswap,SpiritSwap,2021.0,DEX,0.0,4.0,227.0,882.7847510899616,882.7847510899616
227,uniswap_arbitrum,Uniswap (Arbitrum One),,DEX,0.0,4.0,228.0,708.1353553750297,708.1353553750297
228,mercatox,Mercatox,,DEX,,4.0,229.0,623.742218174875,623.742218174875
229,pangolin,Pangolin,2021.0,DEX,0.0,5.0,230.0,503.4314038228785,503.4314038228785
230,apeswap,ApeSwap,2021.0,DEX,0.0,4.0,231.0,324.70910685500087,324.70910685500087
231,waves,Waves.Exchange,,DEX,0.0,4.0,232.0,179.1372088054092,179.1372088054092
232,crex24,CREX24,2017.0,Seychelles,0.0,4.0,233.0,153.96456169109533,153.96456169109533
233,balancer_v1,Balancer (v1),2020.0,DEX,0.0,5.0,234.0,153.45270149866317,153.45270149866317
234,uniswap_optimism,Uniswap (Optimism),,DEX,0.0,4.0,235.0,148.41191252188247,148.41191252188247
235,apeswap_polygon,ApeSwap (Polygon),,DEX,0.0,4.0,236.0,70.3404326543713,70.3404326543713
236,itbit,itBit,2013.0,United States,0.0,4.0,237.0,456.9690791258123,59.17448281896035
237,balancer_arbitrum,Balancer (Arbitrum),,DEX,0.0,4.0,238.0,41.43472959224199,41.43472959224199
238,gdac,GDAC,2018.0,South Korea,0.0,4.0,239.0,34.00987898370734,34.00987898370734
239,binance_dex,Binance DEX,2019.0,Malta,0.0,4.0,240.0,31.06863371547171,31.06863371547171
240,trade_ogre,TradeOgre,2018.0,DEX,,4.0,241.0,21.112123929234194,21.112123929234194
241,dmm,KyberSwap (Ethereum),2018.0,DEX,0.0,4.0,242.0,19.311223548296912,19.311223548296912
242,comethswap,ComethSwap,2021.0,France,0.0,4.0,243.0,7.100043017595381,7.100043017595381
243,tidex,Tidex,2017.0,United Kingdom,0.0,4.0,244.0,6.60328420797651,6.60328420797651
244,impossible_finance,Impossible Finance,2021.0,DEX,0.0,4.0,245.0,5.328958297364791,5.328958297364791
245,graviex,Graviex,2017.0,Malta,0.0,4.0,246.0,4.570441364786492,4.570441364786492
246,auroraswap,AuroraSwap,2021.0,DEX,0.0,4.0,247.0,3.973797156751144,3.973797156751144
247,lydia_finance,Lydia Finance,2021.0,DEX,0.0,4.0,248.0,3.2880421190710702,3.2880421190710702
248,aprobit,Aprobit,2020.0,South Korea,0.0,4.0,249.0,2.737970814180016,2.737970814180016
249,stake_cube,StakeCube Exchange,2019.0,Germany,0.0,4.0,250.0,1.973086480681093,1.973086480681093
