,Symbol,Date,Neutral,Positive,Negative,sentiment_score
349,BTC,2021-12-14,40,27,23,0.067
350,BTC,2021-12-13,32,21,34,-0.224
351,BTC,2021-12-12,19,17,6,0.393
352,BTC,2021-12-11,22,19,12,0.198
353,BTC,2021-12-10,34,27,29,-0.033
354,BTC,2021-12-09,38,33,35,-0.028
355,BTC,2021-12-08,36,31,15,0.293
356,BTC,2021-12-07,41,61,15,0.59
357,BTC,2021-12-06,37,26,46,-0.275
358,BTC,2021-12-05,19,8,16,-0.279
359,BTC,2021-12-04,20,10,43,-0.678
360,BTC,2021-12-03,33,12,28,-0.329
361,BTC,2021-12-02,36,23,35,-0.191
362,BTC,2021-12-01,42,43,21,0.311
363,BTC,2021-11-30,43,32,10,0.388
364,BTC,2021-11-29,31,76,10,0.846
365,BTC,2021-11-28,10,14,11,0.129
366,BTC,2021-11-27,14,13,8,0.214
367,BTC,2021-11-26,22,18,46,-0.488
368,BTC,2021-11-25,27,20,15,0.121
369,BTC,2021-11-24,24,40,14,0.5
370,BTC,2021-11-23,32,39,29,0.15
371,BTC,2021-11-22,29,37,36,0.015
372,BTC,2021-11-21,9,33,7,0.796
373,BTC,2021-11-20,24,24,7,0.464
374,BTC,2021-11-19,27,26,40,-0.226
375,BTC,2021-11-18,38,31,28,0.046
376,BTC,2021-11-17,35,44,33,0.147
377,BTC,2021-11-16,29,50,56,-0.067
378,BTC,2021-11-15,37,61,9,0.729
379,BTC,2021-11-14,11,34,5,0.87
380,BTC,2021-11-13,14,22,17,0.142
381,BTC,2021-11-12,24,50,27,0.342
382,BTC,2021-11-11,34,47,13,0.543
383,BTC,2021-11-10,29,60,17,0.608
384,BTC,2021-11-09,23,66,7,0.922
385,BTC,2021-11-08,26,85,8,0.971
386,BTC,2021-11-07,10,20,4,0.706
387,BTC,2021-11-06,9,19,3,0.774
388,BTC,2021-11-05,23,50,7,0.806
389,BTC,2021-11-04,46,39,12,0.418
390,BTC,2021-11-03,57,42,7,0.495
391,BTC,2021-11-02,25,62,5,0.929
392,BTC,2021-11-01,19,62,7,0.938
393,BTC,2021-10-31,21,19,6,0.424
394,BTC,2021-10-30,10,18,5,0.591
395,BTC,2021-10-29,16,44,7,0.828
396,BTC,2021-10-28,21,56,18,0.6
397,BTC,2021-10-27,42,34,40,-0.078
398,BTC,2021-10-26,31,72,7,0.886
399,BTC,2021-10-25,53,62,7,0.676
400,BTC,2021-10-24,22,19,6,0.415
401,BTC,2021-10-23,20,20,10,0.3
402,BTC,2021-10-22,30,59,19,0.556
403,BTC,2021-10-21,51,93,26,0.591
404,BTC,2021-10-20,31,145,7,1.131
405,BTC,2021-10-19,35,111,16,0.88
406,BTC,2021-10-18,56,92,14,0.722
407,BTC,2021-10-17,16,32,14,0.435
408,BTC,2021-10-16,17,52,7,0.888
409,BTC,2021-10-15,47,96,11,0.828
410,BTC,2021-10-14,24,84,18,0.786
411,BTC,2021-10-13,30,96,23,0.735
412,BTC,2021-10-12,26,68,17,0.689
413,BTC,2021-10-11,36,88,13,0.821
414,BTC,2021-10-10,10,33,9,0.692
415,BTC,2021-10-09,13,31,9,0.623
416,BTC,2021-10-08,15,81,9,1.029
417,BTC,2021-10-07,20,67,6,0.984
418,BTC,2021-10-06,19,85,7,1.054
419,BTC,2021-10-05,23,95,7,1.056
420,BTC,2021-10-04,23,87,12,0.922
421,BTC,2021-10-03,8,25,1,1.059
422,BTC,2021-10-02,13,14,1,0.696
423,BTC,2021-10-01,15,84,5,1.139
424,BTC,2021-09-30,22,62,14,0.735
425,BTC,2021-09-29,24,64,11,0.803
426,BTC,2021-09-28,17,47,27,0.33
427,BTC,2021-09-27,25,45,20,0.417
428,BTC,2021-09-26,11,25,6,0.679
429,BTC,2021-09-25,16,14,8,0.237
430,BTC,2021-09-24,28,29,45,-0.235
431,BTC,2021-09-23,20,67,12,0.833
432,BTC,2021-09-22,23,56,19,0.566
433,BTC,2021-09-21,29,47,30,0.241
434,BTC,2021-09-20,16,44,48,-0.056
435,BTC,2021-09-19,12,16,12,0.15
436,BTC,2021-09-18,11,25,5,0.732
437,BTC,2021-09-17,26,33,15,0.365
438,BTC,2021-09-16,37,47,20,0.389
439,BTC,2021-09-15,24,58,17,0.621
440,BTC,2021-09-14,30,63,12,0.729
441,BTC,2021-09-13,35,57,26,0.394
442,BTC,2021-09-12,13,17,4,0.574
443,BTC,2021-09-11,17,24,10,0.412
444,BTC,2021-09-10,29,34,21,0.232
445,BTC,2021-09-09,39,48,25,0.308
446,BTC,2021-09-08,40,52,54,-0.021
447,BTC,2021-09-07,26,81,53,0.263
448,BTC,2021-09-06,28,66,6,0.9
449,BTC,2021-09-05,13,19,6,0.513
450,BTC,2021-09-04,11,20,2,0.818
451,BTC,2021-09-03,36,25,9,0.343
452,BTC,2021-09-02,32,50,10,0.652
453,BTC,2021-09-01,21,49,19,0.506
454,BTC,2021-08-31,16,53,11,0.788
455,BTC,2021-08-30,29,35,26,0.15
456,BTC,2021-08-29,15,14,8,0.243
457,BTC,2021-08-28,17,21,4,0.607
458,BTC,2021-08-27,30,47,16,0.5
459,BTC,2021-08-26,27,30,18,0.24
460,BTC,2021-08-25,32,55,23,0.436
461,BTC,2021-08-24,28,72,25,0.564
462,BTC,2021-08-23,24,88,10,0.959
463,BTC,2021-08-22,14,30,3,0.862
464,BTC,2021-08-21,9,31,8,0.719
465,BTC,2021-08-20,31,61,12,0.707
466,BTC,2021-08-19,29,40,22,0.297
467,BTC,2021-08-18,37,47,16,0.465
468,BTC,2021-08-17,26,37,17,0.375
469,BTC,2021-08-16,21,35,14,0.45
470,BTC,2021-08-15,15,19,1,0.771
471,BTC,2021-08-14,9,25,3,0.892
472,BTC,2021-08-13,39,36,10,0.459
473,BTC,2021-08-12,22,46,21,0.421
474,BTC,2021-08-11,22,55,7,0.857
475,BTC,2021-08-10,37,58,18,0.531
476,BTC,2021-08-09,29,76,18,0.707
477,BTC,2021-08-08,9,27,3,0.923
478,BTC,2021-08-07,12,24,3,0.808
479,BTC,2021-08-06,25,51,6,0.823
480,BTC,2021-08-05,31,65,16,0.656
481,BTC,2021-08-04,26,56,18,0.57
482,BTC,2021-08-03,31,58,26,0.417
483,BTC,2021-08-02,37,77,29,0.503
484,BTC,2021-08-01,15,23,5,0.628
485,BTC,2021-07-31,15,35,4,0.861
486,BTC,2021-07-30,31,57,23,0.459
487,BTC,2021-07-29,39,57,17,0.531
488,BTC,2021-07-28,39,61,11,0.676
489,BTC,2021-07-27,40,47,33,0.175
490,BTC,2021-07-26,45,86,21,0.641
491,BTC,2021-07-25,19,24,2,0.733
492,BTC,2021-07-24,17,30,7,0.639
493,BTC,2021-07-23,44,44,14,0.441
494,BTC,2021-07-22,34,77,16,0.72
495,BTC,2021-07-21,41,88,14,0.776
496,BTC,2021-07-20,40,24,56,-0.4
497,BTC,2021-07-19,50,19,52,-0.409
498,BTC,2021-07-18,13,25,11,0.429
499,BTC,2021-07-17,12,21,15,0.188
500,BTC,2022-02-01,26,49,29,0.288
501,BTC,2022-01-31,26,36,29,0.115
502,BTC,2022-01-30,23,20,15,0.129
503,BTC,2022-01-29,25,11,10,0.033
