,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
356,1642961580,151.89,151.79,151.79,114.98,17464.28,151.89,multiply,ETH
357,1642961520,151.84,151.7,151.73,133.68,20291.6,151.79,multiply,ETH
358,1642961460,151.73,151.73,151.46,40.18,6096.68,151.73,multiply,ETH
359,1642961400,151.53,151.43,151.48,68.58,10386.92,151.46,multiply,ETH
360,1642961340,151.5,151.35,151.72,67.83,10274.63,151.48,multiply,ETH
361,1642961280,151.91,151.72,152.34,207.98,31554.33,151.72,multiply,ETH
362,1642961220,152.43,152.24,152.3,271.49,41357.81,152.34,multiply,ETH
363,1642961160,152.35,152.3,152.48,192.81,29364.93,152.3,multiply,ETH
364,1642961100,152.67,152.49,152.53,335.88,51265.31,152.63,multiply,BTC
365,1642961040,152.88,152.44,152.24,1932.8,294644.46,152.44,multiply,ETH
366,1642960980,152.36,152.26,152.25,491.97,74924.11,152.29,multiply,BTC
367,1642960920,152.6,152.14,152.59,501.07,76286.22,152.25,multiply,BTC
368,1642960860,152.82,152.45,152.79,277.7,42335.26,152.45,multiply,ETH
369,1642960800,152.82,152.77,152.59,50.82,7764.84,152.79,multiply,ETH
370,1642960740,152.87,152.77,152.87,38.85,5934.95,152.77,multiply,BTC
371,1642960680,152.87,152.73,152.8,178.47,27282.27,152.87,multiply,BTC
372,1642960620,152.8,152.71,152.88,122.49,18713.98,152.78,multiply,ETH
373,1642960560,153.21,152.96,153.08,174.94,26759.04,152.96,multiply,BTC
374,1642960500,153.43,153.08,153.53,109.76,16801.54,153.08,multiply,BTC
375,1642960440,153.39,153.32,153.52,139.02,21314.23,153.32,multiply,ETH
376,1642960380,153.52,153.35,153.41,95.62,14679.37,153.52,multiply,ETH
377,1642960320,153.61,153.54,153.61,176.09,27036.4,153.54,multiply,BTC
378,1642960260,153.55,153.43,153.51,50.74,7786.22,153.45,multiply,ETH
379,1642960200,153.51,153.49,153.44,28.21,4330.65,153.51,multiply,ETH
380,1642960140,153.44,153.37,153.4,82.63,12679.01,153.44,multiply,ETH
381,1642960080,153.46,153.46,153.37,176.57,27096.36,153.46,multiply,BTC
382,1642960020,153.31,153.21,153.2,33.42,5120.3,153.21,multiply,ETH
383,1642959960,153.3,153.06,153.14,33.63,5152.2,153.2,multiply,ETH
384,1642959900,153.17,153.14,153.0,83.26,12750.52,153.14,multiply,ETH
385,1642959840,153.0,152.85,152.85,332.61,50888.1,153.0,multiply,ETH
386,1642959780,152.85,152.68,152.85,280.62,42892.36,152.85,multiply,ETH
387,1642959720,153.13,152.96,152.92,134.59,20610.39,153.13,multiply,BTC
388,1642959660,152.82,152.68,152.84,68.03,10391.47,152.75,multiply,ETH
389,1642959600,153.3,152.99,152.99,60.29,9243.25,153.29,direct,
390,1642959540,152.78,152.71,152.64,52.78,8063.74,152.78,multiply,BTC
391,1642959480,152.64,152.64,152.71,80.42,12275.25,152.64,multiply,BTC
392,1642959420,152.75,152.71,152.57,137.51,20999.18,152.71,multiply,BTC
393,1642959360,152.91,152.78,152.85,20.42,3120.94,152.86,direct,
394,1642959300,152.57,152.35,152.69,12.85,1957.72,152.35,multiply,ETH
395,1642959240,153.04,152.72,153.07,388.36,59309.67,152.72,multiply,BTC
396,1642959180,153.07,152.97,152.92,60.83,9311.55,153.07,multiply,BTC
397,1642959120,152.92,152.85,152.76,91.52,13994.85,152.92,multiply,BTC
398,1642959060,152.71,152.66,152.74,13.23,2019.67,152.66,multiply,ETH
399,1642959000,152.87,152.8,152.78,510.43,78009.73,152.83,multiply,BTC
400,1642958940,153.3,153.17,153.17,70.23,10761.4,153.28,direct,
401,1642958880,152.81,152.67,152.81,455.46,69581.64,152.77,multiply,BTC
402,1642958820,152.81,152.81,152.86,32.73,5001.31,152.81,multiply,BTC
403,1642958760,153.17,153.04,153.05,136.61,20924.45,153.17,direct,
404,1642958700,152.59,152.59,152.67,12.87,1963.79,152.59,multiply,ETH
405,1642958640,152.67,152.6,152.55,12.29,1876.37,152.67,multiply,ETH
406,1642958580,152.55,152.52,152.52,44.6,6803.68,152.55,multiply,ETH
407,1642958520,152.59,152.52,152.54,127.15,19392.92,152.52,multiply,ETH
408,1642958460,152.56,152.47,152.39,246.96,37670.83,152.54,multiply,ETH
409,1642958400,152.39,152.12,152.09,53.24,8113.01,152.39,multiply,ETH
410,1642958340,152.28,152.09,152.13,197.29,30005.48,152.09,multiply,ETH
411,1642958280,152.13,152.08,152.12,58.61,8916.05,152.13,multiply,ETH
412,1642958220,152.2,152.12,152.29,100.67,15314.18,152.12,multiply,ETH
413,1642958160,152.39,152.35,152.45,187.35,28543.4,152.35,multiply,BTC
414,1642958100,152.59,152.41,152.66,66.79,10182.08,152.45,multiply,BTC
415,1642958040,152.66,152.59,152.66,82.05,12525.86,152.66,multiply,BTC
416,1642957980,152.57,152.49,152.35,148.98,22729.28,152.57,multiply,ETH
417,1642957920,152.81,152.72,152.77,111.08,16973.69,152.81,direct,
418,1642957860,152.77,152.57,152.57,62.96,9618.38,152.77,direct,
419,1642957800,152.24,152.12,151.84,30.39,4626.67,152.24,multiply,ETH
420,1642957740,151.91,151.82,151.88,47.58,7224.6,151.84,multiply,ETH
421,1642957680,151.9,151.83,151.82,112.32,17058.64,151.88,multiply,ETH
422,1642957620,152.08,152.01,152.13,8.708,1323.66,152.01,multiply,BTC
423,1642957560,152.2,152.06,152.11,87.89,13370.4,152.13,multiply,BTC
424,1642957500,151.87,151.85,151.99,145.18,22049.07,151.87,multiply,ETH
425,1642957440,151.99,151.84,151.91,250.36,38051.76,151.99,multiply,ETH
426,1642957380,151.93,151.91,151.77,30.92,4697.05,151.91,multiply,ETH
427,1642957320,151.79,151.75,151.96,91.74,13923.35,151.77,multiply,ETH
428,1642957260,151.99,151.94,151.44,42.91,6520.64,151.96,multiply,ETH
429,1642957200,151.58,151.44,151.31,22.18,3358.83,151.44,multiply,ETH
430,1642957140,151.45,151.28,151.44,197.84,29934.74,151.31,multiply,ETH
431,1642957080,152.17,151.95,152.17,5.327,809.26,151.95,direct,
432,1642957020,151.96,151.89,151.91,10.46,1589.49,151.96,multiply,BTC
433,1642956960,152.17,152.08,152.13,12.94,1969.66,152.17,direct,
434,1642956900,151.99,151.82,151.86,92.09,13993.9,151.96,multiply,BTC
435,1642956840,151.97,151.86,152.02,46.43,7050.97,151.86,multiply,BTC
436,1642956780,152.02,152.02,152.15,141.61,21527.03,152.02,multiply,BTC
437,1642956720,152.15,152.04,151.96,124.96,19012.39,152.15,multiply,BTC
438,1642956660,151.96,151.96,151.91,5.482,833.04,151.96,multiply,BTC
439,1642956600,152.01,151.87,151.86,383.58,58267.9,151.91,multiply,BTC
440,1642956540,151.97,151.86,152.03,63.76,9682.67,151.86,multiply,BTC
441,1642956480,152.1,151.99,152.05,11.32,1720.97,152.03,multiply,BTC
442,1642956420,151.82,151.75,152.01,25.09,3807.41,151.75,multiply,ETH
443,1642956360,152.04,151.86,151.78,32.79,4984.24,152.01,multiply,BTC
