Date,Open,High,Low,Close,Adj Close,Volume
2017-07-11,242.369995,242.550003,240.850006,242.190002,223.710739,50354600
2017-07-12,243.300003,244.199997,243.300003,244.009995,225.391861,59610400
2017-07-13,244.020004,244.550003,243.759995,244.419998,225.770569,39471600
2017-07-14,244.419998,245.970001,244.309998,245.559998,226.823608,60262700
2017-07-17,245.470001,245.910004,245.330002,245.529999,226.795853,33531900
2017-07-18,245.059998,245.720001,244.669998,245.660004,226.915985,42742500
2017-07-19,246.020004,247.000000,246.009995,246.990005,228.144516,51034300
2017-07-20,247.279999,247.419998,246.470001,247.100006,228.246109,47135200
2017-07-21,246.440002,246.910004,246.179993,246.880005,228.042923,82340800
2017-07-24,246.789993,246.979996,246.279999,246.820007,227.987442,46622300
2017-07-25,247.679993,247.800003,247.160004,247.419998,228.541687,54915600
2017-07-26,247.750000,247.789993,247.130005,247.429993,228.550919,47575400
2017-07-27,247.960007,248.000000,245.679993,247.199997,228.338455,70766600
2017-07-28,246.649994,247.059998,246.130005,246.910004,228.070618,50088400
2017-07-31,247.369995,247.479996,246.529999,246.770004,227.941315,65838700
2017-08-01,247.460007,247.500000,246.720001,247.320007,228.449326,55050400
2017-08-02,247.470001,247.600006,246.369995,247.440002,228.560150,47211200
2017-08-03,247.309998,247.339996,246.639999,246.960007,228.116837,40856000
2017-08-04,247.520004,247.789993,246.970001,247.410004,228.532501,60191800
2017-08-07,247.490005,247.869995,247.369995,247.869995,228.957352,31995000
2017-08-08,247.509995,248.910004,246.830002,247.259995,228.393875,61719400
2017-08-09,246.470001,247.309998,246.059998,247.250000,228.384674,62632600
2017-08-10,246.289993,246.440002,243.699997,243.759995,225.160919,120479500
2017-08-11,244.020004,244.800003,243.750000,244.119995,225.493500,74869900
2017-08-14,245.589996,246.789993,245.550003,246.539993,227.728775,73291900
2017-08-15,246.979996,247.000000,246.160004,246.509995,227.701096,55242700
2017-08-16,247.110001,247.570007,246.449997,246.940002,228.098312,56715500
2017-08-17,246.240005,246.600006,243.089996,243.089996,224.542053,128490400
2017-08-18,242.899994,244.190002,242.199997,242.710007,224.191040,136748000
2017-08-21,242.639999,243.199997,241.830002,242.899994,224.366592,65469700
2017-08-22,243.570007,245.619995,243.550003,245.440002,226.712799,63140100
2017-08-23,244.330002,245.050003,244.160004,244.559998,225.899918,50203800
2017-08-24,245.000000,245.179993,243.750000,243.990005,225.373398,50741700
2017-08-25,244.899994,245.610001,244.389999,244.559998,225.899918,64445900
2017-08-28,245.169998,245.199997,244.089996,244.570007,225.909119,40565600
2017-08-29,243.059998,245.149994,242.929993,244.850006,226.167770,51135700
2017-08-30,244.830002,246.320007,244.619995,246.009995,227.239243,62030800
2017-08-31,246.720001,247.770004,246.050003,247.490005,228.606369,103803900
2017-09-01,247.919998,248.330002,247.669998,247.839996,228.929672,62007000
